Year,State,Dispensing_Rate,
2017,RI,51.4,
2017,SC,79.8,
2017,SD,48.8,
2017,TN,95.2,
2017,TX,52.2,
2017,UT,63.8,
2017,VA,53.3,
2017,VT,50,
2017,WA,57.1,
2017,WI,52.7,
2017,WV,82.2,
2017,WY,64.4,
2018,AK,44.9,
2018,AL,97.5,
2018,AR,93.5,
2018,AZ,50.7,
2018,CA,35.1,
2018,CO,45.1,
2018,CT,43,
2018,DC,25,
2018,DE,60.6,
2018,FL,53.7,
2018,GA,63.2,
2018,HI,33.4,
2018,IA,49.3,
2018,ID,61.9,
2018,IL,45.2,
2018,IN,65.8,
2018,KS,64.3,
2018,KY,79.5,
2018,LA,79.4,
2018,MA,35.3,
2018,MD,45.1,
2018,ME,48.1,
2018,MI,62.7,
2018,MN,35.5,
2018,MO,63.4,
2018,MS,76.8,
2018,MT,54,
2018,NC,61.5,
2018,ND,37.4,
2018,NE,50.6,
2018,NH,46.1,
2018,NJ,38.9,
2018,NM,49.4,
2018,NV,55.5,
2018,NY,34,
2018,OH,53.5,
2018,OK,79.1,
2018,OR,57.3,
2018,PA,49.9,
2018,RI,43,
2018,SC,69.2,
2018,SD,42.6,
2018,TN,81.8,
2018,TX,47.2,
2018,UT,57.1,
2018,VA,44.8,
2018,VT,42.4,
2018,WA,49.3,
2018,WI,45.8,
2018,WV,69.3,
2018,WY,57.1,
2019,AK,39.1,
2019,AL,85.8,
2019,AR,80.9,
2019,AZ,44.1,
2019,CA,30.9,
2019,CO,40,
2019,CT,40.5,
2019,DC,39.9,
2019,DE,51.6,
2019,FL,45.4,
2019,GA,57.9,
2019,HI,30.3,
2019,IA,43,
2019,ID,53.4,
2019,IL,43.1,
2019,IN,60.4,
2019,KS,63.7,
2019,KY,72.3,
2019,LA,74.6,
2019,MA,35.4,
2019,MD,42.3,
2019,ME,44.1,
2019,MI,58,
2019,MN,32.1,
2019,MO,58.3,
2019,MS,67,
2019,MT,48.2,
2019,NC,56.7,
2019,ND,38.8,
2019,NE,50.3,
2019,NH,38.1,
2019,NJ,34.8,
2019,NM,43.4,
2019,NV,49.4,
2019,NY,34.8,
2019,OH,50.8,
2019,OK,66,
2019,OR,49.1,
2019,PA,47,
2019,RI,40.3,
2019,SC,60.4,
2019,SD,43.9,
2019,TN,74.6,
2019,TX,42.1,
2019,UT,51.4,
2019,VA,40.7,
2019,VT,36.9,
2019,WA,42.7,
2019,WI,42.5,
2019,WV,59.4,
2019,WY,49.7,
2020,AK,36.1,
2020,AL,80.4,
2020,AR,75.8,
2020,AZ,40.5,
2020,CA,28.5,
2020,CO,37.5,
2020,CT,37,
2020,DC,32.6,
2020,DE,45.2,
2020,FL,43.4,
2020,GA,53.9,
2020,HI,27.3,
2020,IA,40.2,
2020,ID,49.9,
2020,IL,40.2,
2020,IN,56.9,
2020,KS,59.8,
